municipality,year,empl
Aalborg,2014,68.0
Copenhagen,2015,70.8
Frederiksberg,2015,74.0
Dragør,2015,78.6
Tårnby,2015,76.5
Albertslund,2015,68.7
Ballerup,2015,72.8
Brøndby,2015,68.0
Gentofte,2015,75.1
Gladsaxe,2015,74.1
Glostrup,2015,75.0
Herlev,2015,74.4
Hvidovre,2015,74.0
Høje-Taastrup,2015,72.0
Ishøj,2015,68.3
Lyngby-Taarbæk,2015,75.5
Rødovre,2015,74.3
Vallensbæk,2015,78.6
Allerød,2015,80.9
Egedal,2015,81.2
Fredensborg,2015,74.7
Frederikssund,2015,76.5
Furesø,2015,77.0
Gribskov,2015,75.6
Halsnæs,2015,73.3
Helsingør,2015,73.3
Hillerød,2015,77.7
Hørsholm,2015,77.1
Rudersdal,2015,77.0
Bornholm,2015,67.3
Christiansø,2015,75.5
Greve,2015,77.2
Køge,2015,75.1
Lejre,2015,78.2
Roskilde,2015,74.5
Solrød,2015,78.6
Faxe,2015,73.8
Guldborgsund,2015,67.1
Holbæk,2015,72.5
Kalundborg,2015,69.6
Lolland,2015,62.2
Næstved,2015,71.5
Odsherred,2015,68.1
Ringsted,2015,74.5
Slagelse,2015,69.6
Sorø,2015,73.1
Stevns,2015,74.6
Vordingborg,2015,67.3
Assens,2015,71.5
Faaborg-Midtfyn,2015,71.1
Kerteminde,2015,70.6
Langeland,2015,63.9
Middelfart,2015,74.3
Nordfyns,2015,71.6
Nyborg,2015,68.4
Odense,2015,65.8
Svendborg,2015,67.9
Ærø,2015,65.8
Billund,2015,75.7
Esbjerg,2015,71.4
Fanø,2015,73.0
Fredericia,2015,70.4
Haderslev,2015,70.6
Kolding,2015,73.6
Sønderborg,2015,69.2
Tønder,2015,71.2
Varde,2015,75.8
Vejen,2015,75.4
Vejle,2015,74.8
Aabenraa,2015,70.7
Favrskov,2015,77.9
Hedensted,2015,78.2
Horsens,2015,72.0
Norddjurs,2015,69.4
Odder,2015,74.3
Randers,2015,71.3
Samsø,2015,71.4
Silkeborg,2015,75.0
Skanderborg,2015,78.2
Syddjurs,2015,73.0
Aarhus,2015,68.4
Herning,2015,74.2
Holstebro,2015,75.3
Ikast-Brande,2015,74.0
Lemvig,2015,74.7
Ringkøbing-Skjern,2015,75.5
Skive,2015,72.8
Struer,2015,70.9
Viborg,2015,73.8
Brønderslev,2015,72.0
Frederikshavn,2015,70.4
Hjørring,2015,71.0
Jammerbugt,2015,71.8
Læsø,2015,67.4
Mariagerfjord,2015,72.3
Morsø,2015,70.9
Rebild,2015,78.0
Thisted,2015,72.1
Vesthimmerlands,2015,72.1
Aalborg,2015,68.5
Copenhagen,2016,71.5
Frederiksberg,2016,74.7
Dragør,2016,79.2
Tårnby,2016,77.4
Albertslund,2016,68.8
Ballerup,2016,73.6
Brøndby,2016,69.1
Gentofte,2016,75.2
Gladsaxe,2016,74.3
Glostrup,2016,75.5
Herlev,2016,74.7
Hvidovre,2016,74.6
Høje-Taastrup,2016,72.8
Ishøj,2016,69.4
Lyngby-Taarbæk,2016,75.7
Rødovre,2016,74.8
Vallensbæk,2016,79.5
Allerød,2016,81.8
Egedal,2016,81.4
Fredensborg,2016,75.0
Frederikssund,2016,77.4
Furesø,2016,77.9
Gribskov,2016,76.3
Halsnæs,2016,74.0
Helsingør,2016,74.0
Hillerød,2016,78.2
Hørsholm,2016,77.0
Rudersdal,2016,76.9
Bornholm,2016,69.3
Christiansø,2016,77.8
Greve,2016,77.9
Køge,2016,75.5
Lejre,2016,78.6
Roskilde,2016,75.6
Solrød,2016,79.9
Faxe,2016,74.4
Guldborgsund,2016,67.8
Holbæk,2016,73.3
Kalundborg,2016,70.2
Lolland,2016,62.6
Næstved,2016,72.1
Odsherred,2016,68.9
Ringsted,2016,74.7
Slagelse,2016,70.5
Sorø,2016,74.2
Stevns,2016,74.9
Vordingborg,2016,68.3
Assens,2016,71.5
Faaborg-Midtfyn,2016,71.7
Kerteminde,2016,71.3
Langeland,2016,66.0
Middelfart,2016,75.0
Nordfyns,2016,72.9
Nyborg,2016,69.4
Odense,2016,66.5
Svendborg,2016,68.4
Ærø,2016,67.0
Billund,2016,76.6
Esbjerg,2016,72.2
Fanø,2016,74.9
Fredericia,2016,71.5
Haderslev,2016,71.5
Kolding,2016,74.8
Sønderborg,2016,70.2
Tønder,2016,71.9
Varde,2016,76.1
Vejen,2016,76.5
Vejle,2016,75.3
Aabenraa,2016,72.0
Favrskov,2016,79.1
Hedensted,2016,79.0
Horsens,2016,73.0
Norddjurs,2016,70.2
Odder,2016,75.1
Randers,2016,72.1
Samsø,2016,71.7
Silkeborg,2016,75.8
Skanderborg,2016,78.8
Syddjurs,2016,73.8
Aarhus,2016,69.2
Herning,2016,74.9
Holstebro,2016,75.7
Ikast-Brande,2016,74.7
Lemvig,2016,74.9
Ringkøbing-Skjern,2016,76.4
Skive,2016,73.7
Struer,2016,72.0
Viborg,2016,74.4
Brønderslev,2016,73.0
Frederikshavn,2016,71.1
Hjørring,2016,72.1
Jammerbugt,2016,72.8
Læsø,2016,69.0
Mariagerfjord,2016,73.4
Morsø,2016,72.2
Rebild,2016,79.0
Thisted,2016,73.2
Vesthimmerlands,2016,73.1
Aalborg,2016,69.5
Copenhagen,2017,72.2
Frederiksberg,2017,75.6
Dragør,2017,80.4
Tårnby,2017,77.6
Albertslund,2017,70.2
Ballerup,2017,74.5
Brøndby,2017,69.4
Gentofte,2017,76.1
Gladsaxe,2017,75.3
Glostrup,2017,76.0
Herlev,2017,75.4
Hvidovre,2017,74.8
Høje-Taastrup,2017,73.5
Ishøj,2017,70.3
Lyngby-Taarbæk,2017,75.7
Rødovre,2017,75.1
Vallensbæk,2017,79.7
Allerød,2017,82.2
Egedal,2017,82.2
Fredensborg,2017,75.5
Frederikssund,2017,77.9
Furesø,2017,78.7
Gribskov,2017,76.7
Halsnæs,2017,74.8
Helsingør,2017,74.6
Hillerød,2017,78.2
Hørsholm,2017,77.9
Rudersdal,2017,77.4
Bornholm,2017,70.1
Christiansø,2017,80.9
Greve,2017,78.4
Køge,2017,76.5
Lejre,2017,79.1
Roskilde,2017,76.8
Solrød,2017,81.5
Faxe,2017,75.1
Guldborgsund,2017,68.6
Holbæk,2017,73.4
Kalundborg,2017,70.7
Lolland,2017,63.1
Næstved,2017,72.8
Odsherred,2017,69.5
Ringsted,2017,75.8
Slagelse,2017,71.1
Sorø,2017,74.6
Stevns,2017,76.0
Vordingborg,2017,69.2
Assens,2017,72.5
Faaborg-Midtfyn,2017,72.7
Kerteminde,2017,72.9
Langeland,2017,66.2
Middelfart,2017,76.0
Nordfyns,2017,73.9
Nyborg,2017,70.3
Odense,2017,67.2
Svendborg,2017,69.1
Ærø,2017,68.1
Billund,2017,77.0
Esbjerg,2017,73.0
Fanø,2017,74.2
Fredericia,2017,72.3
Haderslev,2017,72.7
Kolding,2017,75.7
Sønderborg,2017,71.8
Tønder,2017,72.2
Varde,2017,77.4
Vejen,2017,77.0
Vejle,2017,76.2
Aabenraa,2017,72.9
Favrskov,2017,80.3
Hedensted,2017,79.3
Horsens,2017,74.0
Norddjurs,2017,71.1
Odder,2017,76.2
Randers,2017,72.9
Samsø,2017,72.5
Silkeborg,2017,76.7
Skanderborg,2017,79.9
Syddjurs,2017,74.9
Aarhus,2017,69.9
Herning,2017,75.9
Holstebro,2017,76.9
Ikast-Brande,2017,75.3
Lemvig,2017,75.7
Ringkøbing-Skjern,2017,77.1
Skive,2017,74.5
Struer,2017,72.8
Viborg,2017,75.4
Brønderslev,2017,73.7
Frederikshavn,2017,71.6
Hjørring,2017,72.7
Jammerbugt,2017,73.6
Læsø,2017,72.0
Mariagerfjord,2017,73.9
Morsø,2017,73.0
Rebild,2017,79.4
Thisted,2017,74.5
Vesthimmerlands,2017,73.9
Aalborg,2017,69.9
Copenhagen,2018,73.2
Frederiksberg,2018,76.5
Dragør,2018,81.2
Tårnby,2018,78.0
Albertslund,2018,71.3
Ballerup,2018,75.3
Brøndby,2018,70.2
Gentofte,2018,76.6
Gladsaxe,2018,76.3
Glostrup,2018,76.5
Herlev,2018,76.0
Hvidovre,2018,75.8
Høje-Taastrup,2018,74.4
Ishøj,2018,71.5
Lyngby-Taarbæk,2018,76.6
Rødovre,2018,76.2
Vallensbæk,2018,80.9
Allerød,2018,83.0
Egedal,2018,82.6
Fredensborg,2018,76.5
Frederikssund,2018,78.6
Furesø,2018,79.6
Gribskov,2018,78.0
Halsnæs,2018,76.2
Helsingør,2018,75.2
Hillerød,2018,79.0
Hørsholm,2018,78.8
Rudersdal,2018,77.7
Bornholm,2018,70.2
Christiansø,2018,82.0
Greve,2018,79.5
Køge,2018,77.1
Lejre,2018,79.8
Roskilde,2018,77.7
Solrød,2018,81.7
Faxe,2018,76.2
Guldborgsund,2018,69.2
Holbæk,2018,74.9
Kalundborg,2018,71.4
Lolland,2018,64.3
Næstved,2018,74.2
Odsherred,2018,71.2
Ringsted,2018,76.7
Slagelse,2018,72.0
Sorø,2018,75.7
Stevns,2018,77.1
Vordingborg,2018,70.6
Assens,2018,73.5
Faaborg-Midtfyn,2018,73.7
Kerteminde,2018,74.2
Langeland,2018,68.1
Middelfart,2018,76.9
Nordfyns,2018,74.6
Nyborg,2018,71.5
Odense,2018,68.3
Svendborg,2018,70.6
Ærø,2018,70.1
Billund,2018,77.7
Esbjerg,2018,74.6
Fanø,2018,75.6
Fredericia,2018,73.4
Haderslev,2018,73.9
Kolding,2018,76.6
Sønderborg,2018,72.9
Tønder,2018,73.4
Varde,2018,78.3
Vejen,2018,78.0
Vejle,2018,77.3
Aabenraa,2018,74.0
Favrskov,2018,81.2
Hedensted,2018,80.0
Horsens,2018,75.4
Norddjurs,2018,72.0
Odder,2018,77.6
Randers,2018,73.9
Samsø,2018,73.6
Silkeborg,2018,77.8
Skanderborg,2018,80.8
Syddjurs,2018,76.2
Aarhus,2018,70.5
Herning,2018,76.8
Holstebro,2018,78.0
Ikast-Brande,2018,76.2
Lemvig,2018,76.5
Ringkøbing-Skjern,2018,77.8
Skive,2018,74.8
Struer,2018,74.0
Viborg,2018,76.0
Brønderslev,2018,74.8
Frederikshavn,2018,73.1
Hjørring,2018,74.7
Jammerbugt,2018,75.4
Læsø,2018,72.9
Mariagerfjord,2018,74.7
Morsø,2018,73.8
Rebild,2018,80.2
Thisted,2018,75.5
Vesthimmerlands,2018,75.1
Aalborg,2018,71.0
Copenhagen,2019,73.9
Frederiksberg,2019,77.0
Dragør,2019,81.0
Tårnby,2019,78.9
Albertslund,2019,71.5
Ballerup,2019,75.5
Brøndby,2019,71.0
Gentofte,2019,77.0
Gladsaxe,2019,77.3
Glostrup,2019,77.5
Herlev,2019,77.3
Hvidovre,2019,76.4
Høje-Taastrup,2019,75.3
Ishøj,2019,71.9
Lyngby-Taarbæk,2019,76.4
Rødovre,2019,77.0
Vallensbæk,2019,80.9
Allerød,2019,83.0
Egedal,2019,83.2
Fredensborg,2019,77.7
Frederikssund,2019,79.0
Furesø,2019,80.1
Gribskov,2019,77.8
Halsnæs,2019,76.5
Helsingør,2019,75.8
Hillerød,2019,79.6
Hørsholm,2019,79.5
Rudersdal,2019,78.2
Bornholm,2019,71.4
Christiansø,2019,83.0
Greve,2019,79.2
Køge,2019,77.3
Lejre,2019,80.1
Roskilde,2019,78.1
Solrød,2019,81.7
Faxe,2019,77.0
Guldborgsund,2019,70.6
Holbæk,2019,75.9
Kalundborg,2019,72.0
Lolland,2019,65.4
Næstved,2019,74.9
Odsherred,2019,72.0
Ringsted,2019,77.1
Slagelse,2019,72.9
Sorø,2019,76.3
Stevns,2019,78.2
Vordingborg,2019,71.3
Assens,2019,74.4
Faaborg-Midtfyn,2019,74.2
Kerteminde,2019,74.1
Langeland,2019,68.0
Middelfart,2019,77.6
Nordfyns,2019,74.8
Nyborg,2019,71.9
Odense,2019,68.9
Svendborg,2019,71.1
Ærø,2019,69.3
Billund,2019,78.3
Esbjerg,2019,75.5
Fanø,2019,75.7
Fredericia,2019,73.8
Haderslev,2019,74.1
Kolding,2019,76.9
Sønderborg,2019,72.9
Tønder,2019,73.9
Varde,2019,79.2
Vejen,2019,78.7
Vejle,2019,77.6
Aabenraa,2019,74.1
Favrskov,2019,81.3
Hedensted,2019,80.6
Horsens,2019,75.7
Norddjurs,2019,73.4
Odder,2019,78.0
Randers,2019,74.5
Samsø,2019,74.3
Silkeborg,2019,78.3
Skanderborg,2019,81.3
Syddjurs,2019,77.0
Aarhus,2019,71.1
Herning,2019,77.2
Holstebro,2019,78.0
Ikast-Brande,2019,76.6
Lemvig,2019,77.7
Ringkøbing-Skjern,2019,78.4
Skive,2019,75.9
Struer,2019,74.3
Viborg,2019,76.5
Brønderslev,2019,75.7
Frederikshavn,2019,73.8
Hjørring,2019,74.9
Jammerbugt,2019,76.0
Læsø,2019,75.4
Mariagerfjord,2019,75.3
Morsø,2019,73.9
Rebild,2019,80.5
Thisted,2019,75.9
Vesthimmerlands,2019,75.2
Aalborg,2019,71.4
Copenhagen,2020,72.8
Frederiksberg,2020,76.6
Dragør,2020,80.4
Tårnby,2020,77.5
Albertslund,2020,70.8
Ballerup,2020,74.7
Brøndby,2020,69.5
Gentofte,2020,76.1
Gladsaxe,2020,76.6
Glostrup,2020,76.6
Herlev,2020,76.4
Hvidovre,2020,75.2
Høje-Taastrup,2020,74.4
Ishøj,2020,70.9
Lyngby-Taarbæk,2020,75.3
Rødovre,2020,75.7
Vallensbæk,2020,80.1
Allerød,2020,82.6
Egedal,2020,82.7
Fredensborg,2020,77.0
Frederikssund,2020,78.2
Furesø,2020,80.0
Gribskov,2020,77.6
Halsnæs,2020,75.6
Helsingør,2020,75.4
Hillerød,2020,78.9
Hørsholm,2020,78.9
Rudersdal,2020,77.7
Bornholm,2020,70.3
Christiansø,2020,79.2
Greve,2020,79.1
Køge,2020,76.8
Lejre,2020,79.7
Roskilde,2020,77.6
Solrød,2020,81.8
Faxe,2020,76.5
Guldborgsund,2020,70.5
Holbæk,2020,75.5
Kalundborg,2020,71.6
Lolland,2020,64.8
Næstved,2020,74.6
Odsherred,2020,71.9
Ringsted,2020,76.4
Slagelse,2020,72.0
Sorø,2020,75.8
Stevns,2020,77.6
Vordingborg,2020,71.5
Assens,2020,74.5
Faaborg-Midtfyn,2020,73.7
Kerteminde,2020,74.6
Langeland,2020,68.5
Middelfart,2020,77.7
Nordfyns,2020,74.2
Nyborg,2020,71.2
Odense,2020,68.6
Svendborg,2020,70.5
Ærø,2020,69.7
Billund,2020,76.7
Esbjerg,2020,75.2
Fanø,2020,75.8
Fredericia,2020,73.3
Haderslev,2020,73.9
Kolding,2020,76.5
Sønderborg,2020,73.0
Tønder,2020,73.8
Varde,2020,78.6
Vejen,2020,78.7
Vejle,2020,77.1
Aabenraa,2020,73.8
Favrskov,2020,80.7
Hedensted,2020,80.1
Horsens,2020,75.6
Norddjurs,2020,72.7
Odder,2020,77.9
Randers,2020,73.9
Samsø,2020,74.3
Silkeborg,2020,78.0
Skanderborg,2020,80.7
Syddjurs,2020,76.5
Aarhus,2020,70.5
Herning,2020,77.0
Holstebro,2020,78.4
Ikast-Brande,2020,75.5
Lemvig,2020,77.5
Ringkøbing-Skjern,2020,78.3
Skive,2020,75.4
Struer,2020,74.2
Viborg,2020,76.1
Brønderslev,2020,75.1
Frederikshavn,2020,72.6
Hjørring,2020,73.9
Jammerbugt,2020,75.0
Læsø,2020,74.6
Mariagerfjord,2020,74.7
Morsø,2020,74.3
Rebild,2020,80.1
Thisted,2020,75.7
Vesthimmerlands,2020,74.8
Aalborg,2020,71.0
Copenhagen,2021,76.1
Frederiksberg,2021,79.1
Dragør,2021,82.3
Tårnby,2021,79.7
Albertslund,2021,73.6
Ballerup,2021,77.0
Brøndby,2021,73.2
Gentofte,2021,78.2
Gladsaxe,2021,79.1
Glostrup,2021,78.8
Herlev,2021,78.9
Hvidovre,2021,77.7
Høje-Taastrup,2021,77.0
Ishøj,2021,73.7
Lyngby-Taarbæk,2021,77.1
Rødovre,2021,79.0
Vallensbæk,2021,82.1
Allerød,2021,84.3
Egedal,2021,84.2
Fredensborg,2021,79.4
Frederikssund,2021,80.1
Furesø,2021,81.9
Gribskov,2021,79.3
Halsnæs,2021,77.3
Helsingør,2021,78.0
Hillerød,2021,80.8
Hørsholm,2021,81.0
Rudersdal,2021,79.9
Bornholm,2021,73.7
Christiansø,2021,76.0
Greve,2021,81.1
Køge,2021,78.8
Lejre,2021,81.6
Roskilde,2021,79.8
Solrød,2021,83.9
Faxe,2021,78.3
Guldborgsund,2021,73.2
Holbæk,2021,78.0
Kalundborg,2021,73.8
Lolland,2021,67.0
Næstved,2021,76.8
Odsherred,2021,73.4
Ringsted,2021,79.0
Slagelse,2021,74.7
Sorø,2021,78.0
Stevns,2021,79.2
Vordingborg,2021,73.6
Assens,2021,76.7
Faaborg-Midtfyn,2021,76.3
Kerteminde,2021,77.2
Langeland,2021,70.4
Middelfart,2021,80.2
Nordfyns,2021,76.4
Nyborg,2021,73.9
Odense,2021,72.2
Svendborg,2021,73.5
Ærø,2021,71.6
Billund,2021,79.7
Esbjerg,2021,77.7
Fanø,2021,77.8
Fredericia,2021,76.3
Haderslev,2021,76.6
Kolding,2021,79.3
Sønderborg,2021,75.5
Tønder,2021,75.8
Varde,2021,80.4
Vejen,2021,81.1
Vejle,2021,79.5
Aabenraa,2021,75.5
Favrskov,2021,82.6
Hedensted,2021,82.2
Horsens,2021,78.2
Norddjurs,2021,74.4
Odder,2021,80.0
Randers,2021,76.4
Samsø,2021,76.2
Silkeborg,2021,80.3
Skanderborg,2021,82.8
Syddjurs,2021,78.5
Aarhus,2021,73.7
Herning,2021,79.7
Holstebro,2021,80.1
Ikast-Brande,2021,78.2
Lemvig,2021,79.4
Ringkøbing-Skjern,2021,80.4
Skive,2021,77.9
Struer,2021,76.8
Viborg,2021,78.3
Brønderslev,2021,78.2
Frederikshavn,2021,75.2
Hjørring,2021,76.3
Jammerbugt,2021,77.6
Læsø,2021,74.3
Mariagerfjord,2021,77.3
Morsø,2021,76.2
Rebild,2021,82.5
Thisted,2021,77.9
Vesthimmerlands,2021,77.1
Aalborg,2021,74.3
